goal,step0,step1,label,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
Clean Grout with Baking Soda,Wipe up the mess.,Mop up the floor.,A,A,1,A,1,A,1,A,1
Iron a Dress Shirt,Iron the collar.,Iron the rest of the shirt.,A,A,1,A,1,A,1,B,1
Cook Turtle,Fill a large pot with about 5 inches (13 cm) of oil and heat it to 350 F (177 ,Dip the meat in the egg wash and then the coating mix until it is covered.,A,B,1,B,1,A,1,A,1
Make Soap Last Longer,Let the soap cure.,Cut the bar of soap into smaller pieces.,A,B,1,A,1,A,1,B,1
Make a Mimosa Cocktail,"Add a splash of Triple Sec liqueur, if desired.",Pour equal parts of sparkling wine and orange juice into a champagne flute.,B,B,1,A,1,A,1,A,1
Change Your Name in Rhode Island,Complete the correct form.,Have the petition notarized.,A,B,1,A,1,A,1,A,1
Hang a Kayak in Your Garage,Mark the position of the hangers on the wall in pencil.,Measure the length of the kayak before installing the hangers.,B,B,1,A,1,A,1,A,1
Buy a Taco Bell Franchise,Wait for approval and for the restaurant to be built.,Apply for the franchise.,B,A,1,A,1,A,1,A,1
"Find Mode, Median, Mean and Range",Add the numbers together.,Divide the total by the amount of numbers in the set.,A,B,1,A,1,B,1,A,1
Pack Glass Bottles for Shipping,Seal each bottle in a plastic bag if they contain liquid.,Pack the smaller box inside the larger one.,A,A,1,A,1,A,1,A,1
Clean a Dryer Drum,Harden the gum with ice.,Unplug the dryer.,B,A,1,B,1,A,1,B,1
Take Care of Baby Water Turtles,Place a water heater in the tank.,Get a large aquarium.,B,B,1,B,1,A,1,B,1
Jailbreak iOS Untethered,Close Evasi0n on your computer.,Tap on the Evasi0n icon when prompted to do so by the jailbreaki,B,A,1,A,1,A,1,A,1
Use the wikiHow Editor's Toolbar,Find wikiHow Toolbar in the list.,Select it.,A,B,1,A,1,A,1,A,1
Style Waist Length Hair,Gather your hair into a ponytail at the nape of your neck.,Pull your ponytail through the center of your hair between your scalp and the rubber band.,A,A,1,A,1,B,1,A,1
Make an Invisible Mask for Video Cameras,Mark and cut the hat.,Attach the LEDs.,A,A,1,B,1,A,1,A,1
Vote Online,Confirm whether you are eligible to return an absentee ballot by email or fax.,Request the ballot.,A,A,2,A,1,A,1,A,1
Make a Cup of Tea Using the Microwave,"Now remove the napkin, book, or bowl.","Cover the mug with a napkin, book, or bowl so the tea can steep.",B,A,1,B,1,N,3,B,1
Make a Simple Paper Airplane,Unfold the paper and bend the top corners toward the crease.,Fold a letter size sheet of paper in half.,B,A,1,A,1,A,1,B,1
Write a Payment Reminder,Conclude your letter.,Mail the letter.,A,B,1,A,1,A,1,A,1
Shotgun a Beer,Drink the beer as fast as you can.,Pop the tab open with your other hand.,B,B,1,A,1,A,1,B,1
Tune a Dulcimer,"Tune the bass string to the D below Middle C. Pluck the bass string without pressing it and listen to the sound it makes, then play the correct D note on a piano, guitar, or pitch pipe.",Adjust the middle string based on the bass string.,A,A,1,A,1,A,1,A,1
Calculate Kinetic Energy,Plug in the known variables.,Write the equation.,B,B,1,B,1,A,1,A,1
Set up a Rent to Own Contract,Sign the document.,Negotiate necessary changes.,B,B,1,B,1,B,1,B,1
Read Binary,Find a binary number you want to convert.,Multiply each binary digit by two to the power of its place number.,A,A,1,A,1,A,1,B,1
Wrap Windows with Aluminum,Add at least 3 inches (7.6 cm) to your measurements.,Measure each window.,B,B,1,A,1,A,1,B,1
Tell Time Without a Clock,Line up your hand with the horizon.,Stack one hand below the other towards the horizon.,A,B,1,A,1,T,3,B,1
Become an OSHA Inspector,Apply for open OSHA inspector vacancies with your cover letter and resume.,Pick 3-4 work experiences to talk about during your job interview.,A,B,1,A,1,A,1,A,1
Count Money,Organize by size and value.,Calculate the value of each stack.,A,A,1,A,1,A,1,A,1
Make Light Bend for Science Experiments,Cover the bottom of a rectangular fish tank with 2 lb (0.91 kg) of sugar.,Pour 1 2 US gal (5.7 L) of water into the,A,A,1,A,1,A,1,A,1
Make a Walnut Mouse,Place the cardboard template on a scrap of fabric.,To attach the fabric to the base of the mouse:,A,B,1,A,1,A,1,A,1
Make Rip Away Pants,"Find or buy a pair of pants that you don't mind cutting, or that you would like to be able to remove quickly.",Cut the threaded seam along the outside of each leg.,A,B,1,A,1,A,1,A,1
Clean Pewter,Rinse.,Dry thoroughly.,A,B,1,A,1,A,1,A,1
Locate a Leak in an Air Mattress,Apply pressure to the mattress with your hand and listen for leaks.,Mark the leak with a pen or piece of tape.,A,A,1,A,1,A,1,A,1
Cross Hatch,Go over the drawing in ink.,Erase the pencil marks once the ink has dried.,A,B,1,A,1,A,1,A,1
Make Creamy Chai Tea,Boil water.,Add the tea powder/ bag.,A,A,1,A,1,A,1,A,1
Drink Bacardi,"Choose one of Bacardi's full-bodied rums, such as the Reserva Limitada.",Pour about 1 ounce of Bacardi rum into an old-fashioned or rocks,A,A,1,A,1,B,1,A,1
Clean Your Rabbit Without Bathing It,Wipe the bunny on the soiled area.,Put your rabbit in a comfortable position.,B,A,1,A,1,A,1,B,1
Remove Grass Stains from Clothing,"Apply, massage and let sit.",Mix your DIY-remover.,B,A,1,B,1,A,1,A,1
Score Badminton,Stop the game when 1 player reaches 30 points.,Defeat your opponent 2-3 times to win a badminton match.,A,A,1,A,1,B,1,A,1
Buy a House at Auction,Register and get your bidding paddle.,Raise your paddle to bid on the property you want to purchase.,A,A,1,A,1,A,1,A,1
Hem a Prom Dress,Attach a blind hem foot to your machine.,Fold the hem under as you place it on the machine.,A,B,1,A,1,A,1,B,1
Pass the California State Bar Exam Without Law School,Take the FYLSX.,Apply to take the FYLSX.,B,A,1,A,1,I,3,B,1
Start a Lanyard,Drape one end over the other and loop it underneath through the center of the bight.,Make a bight with two free ends.,B,A,1,A,1,A,1,A,1
Convert Grams to Moles,Set up the conversion formula.,Plug your numbers into the formula.,A,B,1,A,1,A,1,A,1
Write an Email of Interest for a Job,Close with your contact information and a 'thank you.',Explain your qualifications and experience in the body of the letter.,B,B,1,A,1,A,1,B,1
Get an Egg Into a Bottle,Watch the egg go into the bottle.,Put the candles in an upside-down bottle.,B,A,1,B,1,A,1,A,1
Watch Movies Online With Netflix,Sign into the activation site with your Netflix account.,Type in the code displayed on your TV.,A,I,3,A,1,A,1,A,1
Sharpen Crayon Points,Purchase a manual crayon sharpener.,Sharpen the crayon the same way you would sharpen a pencil in a manual sharpener.,A,I,3,A,1,I,3,A,1
Make an Ancient Letter,Use a pan that you would make brownies in.,Take strong black tea.,A,A,1,B,2,A,1,A,1
Make Rhubarb Cordial,Add the mint leaves for decoration.,Remove from the heat.,B,B,1,B,1,B,1,B,1
Make a Paper Tank,Secure the gun.,Add the gun.,B,B,1,B,1,A,1,A,1
Make a Toilet Paper Roll Caterpillar,Fold and glue the antennae onto the top of the caterpillar's head.,Pick out some construction paper and cut out two strips to use as antennae.,B,B,1,A,1,A,1,A,1
Eat Edamame,Add 3 cups of thawed frozen edamame to the mixture and cook for 5 minutes.,Stir in the rice and 3 diced scallions and cook for 1 more minute.,A,A,1,A,1,B,1,A,1
Recycle Coffee Grounds From Your Coffee Maker,Collect coffee grounds for distributing onto the ground outdoors.,Pour the coffee grounds over your outdoor soil.,A,B,1,A,1,A,3,A,1
Measure Length,"Line up the ""0"" mark with one end.",Extend the measuring tool over the length.,A,A,1,A,1,B,1,A,1
Use a Boresnake,Pull the bore snake all the way through the barrel.,Repeat the process if necessary.,A,A,1,A,1,A,1,A,1
Heat Water Using Solar Energy,Run the water through the hose slowly and it will come out warm.,Finished.,A,A,1,A,1,A,1,A,1
Distinguish Between Acids and Bases,"Dip one end of the blue litmus paper into the solution, then quickly remove it.",Buy red and blue litmus paper.,B,A,1,A,1,A,1,B,1
Make Drums for Kids,Attach fabric to the top of the coffee tin.,Replace the lid.,A,B,1,I,3,A,1,A,1
Wash a Pillow Pet,Hang your Pillow Pet up to dry.,Let your Pillow Pet air dry for several hours.,A,B,1,A,1,A,2,B,1
Buy Books for Your Kindle,"When prompted, confirm your purchase.",Tap Buy.,B,I,3,A,1,A,2,B,1
Wire an Electric Cooker,Have a certified electrician check your work for mistakes.,Replace the terminal screws to secure the power wires.,B,A,1,A,1,A,1,A,1
Share Your Pictures on SmugMug,Click Try Us O,"Enter your Email, Password, and desired Site Name.",A,B,1,A,1,A,1,A,1
Split Hardwood Firewood,Tap the wedge into the grain with a sledge.,Have several wedges on hand.,B,A,1,A,1,A,1,B,1
Make Your Sessions Private on Spotify,Launch Spotify.,Sign in.,A,B,1,B,1,A,1,A,1
Make a Bow Ring Out of Clay,Add the varnish using clear nail polish You might want to put something beneath it to avoid mess.,Add some designs.,B,A,1,A,1,A,1,B,1
Talk to an Old Friend over Instant Messaging,Have a look at the persons pr,Wait patiently for an add.,A,A,1,A,1,A,1,A,1
Build a Model Ship,Buy the necessary tools.,Look for a model to purchase.,B,B,1,B,1,A,1,B,1
Make a Rope Harness,Tie another bowline around your other leg.,Tie a bowline knot to secure the first leg.,B,A,1,B,1,B,1,B,1
Make Money with 500px,Click My Settings.,Click the LICENSING tab.,A,A,1,A,1,A,1,A,1
Paint Louvered Shutters,Put the shutters on a drop cloth on a flat surface.,Take down the shutters from your home.,B,A,1,A,1,A,1,A,1
Buy Bird Baths,Rent a truck and move the bird bath into it.,Look at the bird baths available at a garden center.,B,A,1,A,1,A,1,A,1
Level the Ground for Pavers,Slope your strings by .25 inches (0.64 cm) for every 1 foot (30 cm) of land.,Use string to mark the finished level for your pavers.,B,A,1,A,1,A,1,A,1
Make Snowball Punch,Scoop and add the ice cream snowballs.,Garnish and serve the blue snowball punch.,A,A,1,A,1,A,1,A,1
Bottle Feed a Newborn,Firmly pat or rub their back.,Resume feeding after a couple minutes even if your baby doesnt,A,A,1,A,1,A,1,A,1
Create an Origami Puppy Finger Puppet,Fold the top layer up (forms the ears).,Fold the next top layer up (looks like a mouth).,A,A,1,I,3,A,1,A,1
Check Your Bank Balance,Create an account using your account information if you don't have one.,Go to your banks website on your computer or ,B,B,1,A,1,A,1,B,1
Square Your Duct Tape Sheet,Place your duct tape sheet on a flat surface.,Attach the paper firmly to the duct tape sheet.,A,B,1,A,1,A,1,A,1
Remove Ads from Kindle Fire HD,Click the Edit button next to ,Click Unsubscribe now with one cli,A,A,1,A,1,A,1,A,1
Make Easter Bunny Chow Mix,Stir the chocolate.,Repeat this pattern until the chocolate is fully melted.,A,B,1,B,1,A,2,A,1
Make Cinnamon Hot Chocolate,Place all of the ingredients into a large mixing bowl.,Whisk together to combine.,A,B,1,A,1,A,2,A,1
Turn an Old Book Into a Clock,Place the book clock on display.,Snap the clock hands onto the clock motor rod on the front cover.,B,B,1,A,1,A,1,B,1
Pack Your Fragile Items,"Pack some items, like cups or mugs, in a cell pack.","After filling a box, gently pack tissue or bubble wrap into any open spaces.",A,B,1,A,1,B,1,B,1
Obtain a Copy of Your Birth Certificate in Illinois,Fill out the required forms.,Gather the required information.,B,B,1,B,1,B,1,B,1
Clean Baby Bottles That Have a Milk Odor,"If the odor remains, soak the bottle in the water with baking soda.",Rinse the bottle and smell it.,B,A,2,A,1,A,1,B,1
Identify Estate Assets That Generate Income,Gather the required documents.,Fill out the required documents.,A,A,1,A,1,A,1,A,1
"Go ""Beer Fishing""","Before he grasps it, tug on the line.","Meanwhile, your guests are enjoying this from the balcony and going nuts with laughter.",A,A,1,A,1,A,1,A,1
Remove a Vertical Sliding Window,Pry the removal clips up with a flathead screwdriver.,Lift up the vertical sash until it disengages from its tracks.,A,A,1,B,1,A,1,B,1
Make Easy Pants,Measure the waistline for your drawstring/waistband.,Use a buttonhole stitch.,A,A,1,A,1,A,1,A,1
Make Homemade Aloe Vera Facials,Prepare a simple scrub.,Massage the scrub onto your face for 1 to 2 minutes.,A,B,1,A,1,B,1,A,1
Paint a Fireplace,Use flat brushes to paint your tile fireplace with enamel paint.,Paint the tile with a coat of oil-based primer.,B,B,1,A,1,B,1,B,1
Test Blood to Make Sure It's Real,Drip hydrogen peroxide on the liquid.,Prepare your blood sample.,B,B,1,A,1,A,1,B,1
Make Glow in the Dark Slime,Add the craft paint.,Finished!,A,A,3,A,1,A,1,A,1
Keep a Wild Caught Toad As a Pet,Feed your toad 1 or 2 insects each day.,Purchase live insects to feed your toad.,B,B,1,A,1,A,1,B,1
Report Fraud on PayPal,Provide a description of your problem.,Escalate your dispute to a claim.,A,B,1,A,1,A,1,A,1
Measure Heel Height,Measure from the top of the heel cap.,Get a tape measure or ruler.,B,B,1,A,1,A,1,A,1
Make a Shower Pan,Apply an 8 in (0.32 cm) layer of thinset on the showe,Wipe the mortar with a wet cloth to clean up any dust.,B,B,1,A,1,B,1,A,1
Make Unicorn Ice Cream,Divide the whipping cream mixture into 4-5 bowls.,Add the sweetened condensed milk and vanilla.,B,A,1,A,1,I,3,A,1
Use a Transistor,Connect 1 resistor to the LED.,Insert the LED bulb and connect it to the transistor.,B,B,1,A,1,A,1,A,1
Play Front Foot Straight Drive in Cricket,Lift the bat up.,Hold the bat.,B,A,1,B,1,A,1,A,1
Make Felt Coasters,Pin your modular pieces onto your 4x4 inch (101.6x101.6 mm) squares.,Sew along the inner edges of your modular pieces.,A,A,1,A,1,A,1,A,1
Make a Rice Sock,Fill the sock three-quarters full with uncooked rice.,Add aromatics if you like.,A,A,1,A,1,A,1,A,1
Recycle an Old Hot Water Bottle,Attach the hot water bottle to the wall where youd like to place floral arrange,Place flowers into the bottle vase.,A,A,1,A,1,A,1,A,1
Play Minecraft,Select a difficulty.,Enter a name for your world.,B,B,1,B,1,A,1,A,1
Wash a Chest Binder,Hang your binder up to dry.,Rinse your binder thoroughly.,B,B,1,B,1,B,1,B,1
Make Heart Macarons,Transfer the macaron batter to a piping bag.,Line a cookie sheet with parchment paper.,B,A,1,A,1,A,1,B,1
Compare Credit Card Offers for People With Bad Credit,Check the annual fee.,Search online for offers.,B,B,1,A,1,A,1,B,1
Clean Cat Urine,Stand on the wet spot if it is on a carpet.,Avoid rubbing in the stain.,B,B,1,B,1,A,1,B,1
Become a Curves Franchisee,Wait for the contract.,Submit your Confidential User Profile.,B,A,1,B,1,A,1,A,1
Give a Cat Medicine,Prepare the medicine.,Wrap your cat in a towel with only his head exposed.,A,B,1,A,1,A,2,A,1
Play Kings Corners,Decide who will go first.,Tell player one to pick up a card.,A,A,1,A,1,A,1,A,1
Clean Nickel Plating,Soak the object in the solution.,Rinse the plating.,A,A,1,A,1,A,1,A,1
Hang Patterned Wallpaper,Unroll a roll of wallpaper facedown on a pasting table.,Measure the height of the wall using a measuring tape and add 4 in (10 cm).,B,A,1,A,1,A,1,A,1
Install Vinyl Gutters,Measure out the gutter run.,Choose between a vinyl gutter kit or separate parts.,A,A,1,A,1,A,1,B,1
Fix a Mailbox,Purchase a new mailbox post at a home improvement store.,Dig a hole for the new post that complies with USPS guidelines.,A,A,1,A,1,A,1,B,1
Create a Hunger Games Game in Vanilla Minecraft,"When the game is near the end (3-4 tributes still alive), spawn killer bunnies and other non-flying monsters in from the edges (mutations), the tributes then would start running for survival up the cornucopia, and this is a wordless deathmatch.","When the victor is decided, kill the mutations with a command, and announce the victory.",A,A,1,A,1,A,1,A,1
Make a Paper Football,Flatten the paper football with your fingers.,Tuck the right side of the new triangle into the pocket on the left.,B,A,1,A,1,A,1,B,1
Fasten Lace Curtains,Stitch around the curtain rod to bring both sides of the looped lace fabric together.,Select a yarn that matches the color of the lace closely.,B,B,1,A,1,A,1,A,1
Clean Greasy Kitchen Cabinets,Scrub the paste to remove grease.,Remove the paste and wipe the cabinets dry.,A,A,1,A,1,A,1,A,1
Use Tuning Forks,Get a tuning fork that produces an A note.,Find the A note on each string of your instrument.,A,A,1,A,1,A,1,A,1
Create a School Project on the Layers of the Earth,Make the homemade dough.,Separate the dough into 7 balls of varying sizes and dye them.,A,B,1,B,1,A,1,A,1
Tell if Sunglasses Are Polarized,Tilt your head 60 degrees to the left or right.,Put on your sunglasses.,B,A,1,A,1,A,1,A,1
Paint a Sunset,Pull yellow outwards from the edges of the sun toward the edge of the canvas.,Clean your brush in between the color changes in the water cup and dab it dry on the paper towel.,A,B,1,A,1,B,1,B,1
Adopt a Stepchild in California,Complete the appropriate court forms.,Have a professional review your forms.,A,A,1,A,1,A,1,A,1
Fish Without Fishing Gear,Bail out the water from the pool using a container.,Find a small pond or small water area.,B,B,1,B,1,B,1,B,1
Write an Acceptance Letter,Specify your start date and supervisor.,Confirm your salary and benefits.,A,A,1,A,1,A,1,A,1
Fly to Curacao,Gather all of the necessary documents.,Fill out the Embarkation Disembarkation card.,A,A,1,A,1,A,1,B,1
Test a Transistor,Clamp the black probe to the base of the transistor.,"Determine which leads are the base, emitter and collector.",B,B,1,A,1,B,1,B,1
Smoke a Pork Butt,Combine the marinade ingredients.,Distribute the marinade throughout the pork.,A,B,1,A,1,B,1,A,1
Do a Throwie,Lay your cardboard sheet over your chosen medium and color in the cutout.,"Add outlines, shading, and other details to your reproduction.",A,A,1,A,1,A,1,A,1
Clean Makeup Brushes with Alcohol,Pour alcohol into a shallow bowl.,Swish the brush around.,A,A,1,A,1,A,1,A,1
Make a Pillow Bed,Turn the sheet right side out.,Make seams 17 in (43 cm) apart along the length of the sheet.,A,A,1,A,1,A,1,A,1
Build a Figure Four Mangle Snare,Place plant material around the trap so that a funnel is created on both sides to guide the animal towards the trap.,"Remove yourself from the surrounding area, and check on the trap next day.",A,A,1,A,1,A,1,B,1
Get Rid of a Pollen Stain,Wash the garment in your washing machine.,Apply a pretreatment solution and let it soak for 20 minutes.,B,B,1,B,1,A,1,B,1
Make a Three Way Phone Call,Call the first person.,Press SEND.,A,A,1,A,1,A,1,A,1
